css_o,css_d,distance,duration
CS0,CS1,3.0 km,10 mins
CS0,CS2,1.2 km,5 mins
CS0,CS3,3.3 km,12 mins
CS0,CS4,2.0 km,8 mins
CS0,CS5,1.0 km,5 mins
CS0,CS6,0.4 km,2 mins
CS0,CS7,1.0 km,5 mins
CS0,CS8,1.9 km,6 mins
CS0,CS9,2.6 km,9 mins
CS0,CS10,0.9 km,5 mins
CS0,CS11,8.4 km,23 mins
CS0,CS12,9.4 km,22 mins
CS0,CS13,8.3 km,20 mins
CS0,CS14,9.8 km,23 mins
CS0,CS15,9.3 km,23 mins
CS0,CS16,2.4 km,10 mins
CS0,CS17,1.6 km,7 mins
CS0,CS18,1.9 km,7 mins
CS0,CS19,3.4 km,14 mins
CS0,CS20,2.6 km,9 mins
CS0,CS21,2.7 km,10 mins
CS0,CS22,3.2 km,12 mins
CS0,CS23,4.7 km,16 mins
CS0,CS24,3.4 km,13 mins
CS0,CS25,3.5 km,11 mins
CS0,CS26,5.4 km,18 mins
CS0,CS27,4.5 km,15 mins
CS0,CS28,7.9 km,25 mins
CS0,CS29,5.7 km,16 mins
CS0,CS30,6.5 km,20 mins
CS0,CS31,5.0 km,17 mins
CS0,CS32,6.4 km,19 mins
CS0,CS33,7.2 km,22 mins
CS0,CS34,5.6 km,18 mins
CS0,CS35,5.2 km,17 mins
CS0,CS36,6.4 km,17 mins
CS0,CS37,7.6 km,22 mins
CS0,CS38,5.5 km,16 mins
CS0,CS39,6.2 km,20 mins
CS0,CS40,5.9 km,18 mins
CS0,CS41,9.5 km,26 mins
CS0,CS42,8.7 km,23 mins
CS0,CS43,2.0 km,8 mins
CS0,CS44,3.5 km,11 mins
CS0,CS45,1.9 km,8 mins
CS0,CS46,3.4 km,10 mins
CS0,CS47,2.2 km,9 mins
CS0,CS48,2.0 km,7 mins
CS0,CS49,6.3 km,19 mins
CS0,CS50,6.7 km,19 mins
CS0,CS51,7.5 km,19 mins
CS0,CS52,7.1 km,20 mins
CS0,CS53,7.3 km,19 mins
CS0,CS54,6.8 km,20 mins
CS0,CS55,4.6 km,15 mins
CS0,CS56,5.5 km,15 mins
CS0,CS57,5.3 km,18 mins
CS0,CS58,6.7 km,19 mins
CS0,CS59,4.6 km,15 mins
CS0,CS60,5.0 km,16 mins
CS0,CS61,6.1 km,18 mins
CS0,CS62,6.8 km,19 mins
CS0,CS63,5.3 km,14 mins
CS0,CS64,6.3 km,17 mins
CS0,CS65,5.8 km,17 mins
CS0,CS66,6.3 km,19 mins
CS0,CS67,7.5 km,21 mins
CS0,CS68,7.4 km,21 mins
CS0,CS69,5.0 km,16 mins
CS0,CS70,7.7 km,22 mins
CS0,CS71,5.0 km,15 mins
CS0,CS72,6.4 km,19 mins
CS0,CS73,7.5 km,21 mins
CS0,CS74,8.2 km,23 mins
CS0,CS75,6.5 km,19 mins
CS0,CS76,6.2 km,17 mins
CS0,CS77,6.8 km,16 mins
CS0,CS78,7.0 km,18 mins
CS0,CS79,6.8 km,21 mins
CS0,CS80,7.9 km,22 mins
CS0,CS81,6.5 km,20 mins
CS0,CS82,7.0 km,19 mins
CS0,CS83,7.2 km,20 mins
CS0,CS84,7.9 km,22 mins
CS0,CS85,8.4 km,23 mins
CS0,CS86,6.7 km,19 mins
CS0,CS87,8.7 km,23 mins
CS0,CS88,9.5 km,24 mins
CS0,CS89,9.4 km,26 mins
CS0,CS90,8.1 km,20 mins
CS0,CS91,9.7 km,24 mins
CS0,CS92,4.7 km,15 mins
CS0,CS93,3.1 km,10 mins
CS0,CS94,3.5 km,11 mins
CS0,CS95,4.3 km,15 mins
CS0,CS96,5.0 km,15 mins
CS0,CS97,3.4 km,12 mins
CS0,CS98,4.4 km,14 mins
CS0,CS99,4.0 km,14 mins
CS1,CS0,3.0 km,10 mins
CS1,CS2,3.1 km,9 mins
CS1,CS3,1.5 km,4 mins
CS1,CS4,2.4 km,6 mins
CS1,CS5,3.7 km,10 mins
CS1,CS6,3.2 km,9 mins
CS1,CS7,2.3 km,6 mins
CS1,CS8,3.2 km,8 mins
CS1,CS9,0.9 km,2 mins
CS1,CS10,2.2 km,5 mins
CS1,CS11,11.5 km,27 mins
CS1,CS12,12.4 km,26 mins
CS1,CS13,11.3 km,24 mins
CS1,CS14,12.9 km,26 mins
CS1,CS15,12.3 km,26 mins
CS1,CS16,5.1 km,15 mins
CS1,CS17,4.3 km,12 mins
CS1,CS18,4.5 km,12 mins
CS1,CS19,6.1 km,18 mins
CS1,CS20,5.6 km,12 mins
CS1,CS21,5.3 km,15 mins
CS1,CS22,6.3 km,15 mins
CS1,CS23,8.0 km,20 mins
CS1,CS24,6.1 km,18 mins
CS1,CS25,6.5 km,15 mins
CS1,CS26,7.6 km,18 mins
CS1,CS27,7.1 km,16 mins
CS1,CS28,11.1 km,25 mins
CS1,CS29,8.8 km,20 mins
CS1,CS30,9.5 km,23 mins
CS1,CS31,7.9 km,18 mins
CS1,CS32,8.6 km,20 mins
CS1,CS33,10.0 km,22 mins
CS1,CS34,7.7 km,17 mins
CS1,CS35,7.8 km,18 mins
CS1,CS36,9.4 km,21 mins
CS1,CS37,9.8 km,21 mins
CS1,CS38,8.5 km,19 mins
CS1,CS39,9.0 km,20 mins
CS1,CS40,9.0 km,22 mins
CS1,CS41,13.3 km,29 mins
CS1,CS42,11.4 km,28 mins
CS1,CS43,4.9 km,9 mins
CS1,CS44,4.5 km,10 mins
CS1,CS45,4.3 km,9 mins
CS1,CS46,4.3 km,9 mins
CS1,CS47,5.2 km,10 mins
CS1,CS48,4.7 km,10 mins
CS1,CS49,9.0 km,23 mins
CS1,CS50,9.3 km,24 mins
CS1,CS51,10.6 km,22 mins
CS1,CS52,10.2 km,23 mins
CS1,CS53,10.4 km,23 mins
CS1,CS54,9.8 km,23 mins
CS1,CS55,7.7 km,18 mins
CS1,CS56,8.5 km,19 mins
CS1,CS57,8.4 km,21 mins
CS1,CS58,9.8 km,23 mins
CS1,CS59,7.7 km,19 mins
CS1,CS60,8.0 km,20 mins
CS1,CS61,9.1 km,21 mins
CS1,CS62,9.9 km,23 mins
CS1,CS63,2.6 km,7 mins
CS1,CS64,3.5 km,10 mins
CS1,CS65,8.9 km,21 mins
CS1,CS66,9.3 km,23 mins
CS1,CS67,10.5 km,25 mins
CS1,CS68,10.5 km,24 mins
CS1,CS69,7.7 km,21 mins
CS1,CS70,10.6 km,26 mins
CS1,CS71,8.0 km,19 mins
CS1,CS72,9.4 km,23 mins
CS1,CS73,10.6 km,25 mins
CS1,CS74,11.3 km,27 mins
CS1,CS75,9.1 km,24 mins
CS1,CS76,5.1 km,11 mins
CS1,CS77,4.1 km,8 mins
