traveller_id,POI_o,POI_d,lat_o,lng_o,lat_d,lng_d,css_o,css_d
t0,24,336,55.6631244,12.6047394,55.713568,12.5927798,CS0,CS50
t1,17,30,55.6621909,12.6031011,55.7007973,12.5800157,CS0,CS66
t2,16,69,55.6669546,12.6034848,55.68446949999999,12.566041,CS0,CS55
t3,23,233,55.6642893,12.6028591,55.7072116,12.5923117,CS0,CS49
t4,21,394,55.66430630000001,12.6020437,55.6835348,12.536428,CS0,CS38
t5,16,386,55.6669546,12.6034848,55.69082179999999,12.5601599,CS0,CS60
t6,23,413,55.6642893,12.6028591,55.68026529999999,12.521601,CS0,CS39
t7,16,339,55.6669546,12.6034848,55.666562,12.506054,CS0,CS84
t8,19,389,55.6651719,12.5994568,55.669697,12.554685,CS0,CS95
t9,22,303,55.66175819999999,12.598062,55.6860563,12.5349193,CS0,CS36
t10,16,448,55.6669546,12.6034848,55.7120052,12.5623788,CS0,CS73
t11,20,406,55.6626693,12.6050842,55.66616940000001,12.5791072,CS0,CS47
t12,20,109,55.6626693,12.6050842,55.70128099999999,12.5387319,CS0,CS52
t13,21,143,55.66430630000001,12.6020437,55.69093549999999,12.4875513,CS0,CS88
t14,19,453,55.6651719,12.5994568,55.6565583,12.6040133,CS0,CS10
t15,18,184,55.6626962,12.6053507,55.7151574,12.5316417,CS0,CS12
t16,21,51,55.66430630000001,12.6020437,55.6400501,12.6176269,CS0,CS3
t17,16,230,55.6669546,12.6034848,55.648184,12.5295634,CS0,CS78
t18,16,357,55.6669546,12.6034848,55.7043427,12.5771488,CS0,CS72
t19,18,201,55.6626962,12.6053507,55.6661008,12.5122328,CS0,CS81
t20,23,422,55.6642893,12.6028591,55.666579,12.546733,CS0,CS96
t21,18,456,55.6626962,12.6053507,55.712124,12.572139,CS0,CS74
t22,22,324,55.66175819999999,12.598062,55.6977797,12.5795082,CS0,CS40
t23,18,374,55.6626962,12.6053507,55.6739744,12.5915373,CS0,CS17
t24,17,350,55.6621909,12.6031011,55.68907400000001,12.5646049,CS0,CS59
t25,18,429,55.6626962,12.6053507,55.6781016,12.5890488,CS0,CS18
t26,22,401,55.66175819999999,12.598062,55.6926059,12.4845073,CS0,CS91
t27,18,442,55.6626962,12.6053507,55.7297478,12.5755777,CS0,CS42
t28,27,343,55.6400112,12.5990241,55.6782474,12.4969149,CS1,CS37
t29,25,30,55.63930200000001,12.59918,55.7007973,12.5800157,CS1,CS66
t30,26,21,55.6413488,12.5994461,55.66430630000001,12.6020437,CS1,CS0
t31,27,181,55.6400112,12.5990241,55.67933559999999,12.5329958,CS1,CS29
t32,26,428,55.6413488,12.5994461,55.67983100000001,12.592508,CS1,CS18
t33,26,184,55.6413488,12.5994461,55.7151574,12.5316417,CS1,CS12
t34,27,196,55.6400112,12.5990241,55.67630280000001,12.575125,CS1,CS20
t35,25,269,55.63930200000001,12.59918,55.67851289999999,12.5030842,CS1,CS33
t36,26,304,55.6413488,12.5994461,55.68668959999999,12.5403569,CS1,CS36
t37,27,480,55.6400112,12.5990241,55.6705592,12.5817682,CS1,CS48
t38,27,63,55.6400112,12.5990241,55.630171,12.576398,CS1,CS63
t39,25,240,55.63930200000001,12.59918,55.6813386,12.5932285,CS1,CS21
t40,25,210,55.63930200000001,12.59918,55.6576106,12.5138704,CS1,CS82
t41,27,49,55.6400112,12.5990241,55.6372747,12.6183612,CS1,CS3
t42,26,477,55.6413488,12.5994461,55.702685,12.5505033,CS1,CS62
t43,27,439,55.6400112,12.5990241,55.7307904,12.5757642,CS1,CS42
t44,43,414,55.66034659999999,12.6124427,55.6815887,12.5219717,CS2,CS39
t45,44,49,55.663417,12.613829,55.6372747,12.6183612,CS2,CS3
t46,45,337,55.6596066,12.6101348,55.7108917,12.5961037,CS2,CS50
t47,45,348,55.6596066,12.6101348,55.6785728,12.5064236,CS2,CS37
t48,45,249,55.6596066,12.6101348,55.6803695,12.5307427,CS2,CS32
t49,44,240,55.663417,12.613829,55.6813386,12.5932285,CS2,CS21
t50,43,221,55.66034659999999,12.6124427,55.6957586,12.5502119,CS2,CS57
t51,43,179,55.66034659999999,12.6124427,55.68013979999999,12.5340575,CS2,CS29
t52,43,162,55.66034659999999,12.6124427,55.6742731,12.5496964,CS2,CS27
t53,43,402,55.66034659999999,12.6124427,55.6662723,12.5775785,CS2,CS47
t54,44,377,55.663417,12.613829,55.67242719999999,12.590134,CS2,CS17
t55,43,145,55.66034659999999,12.6124427,55.66695900000001,12.576411,CS2,CS45
t56,43,190,55.66034659999999,12.6124427,55.674828,12.5727279,CS2,CS20
t57,43,448,55.66034659999999,12.6124427,55.7120052,12.5623788,CS2,CS73
t58,44,314,55.663417,12.613829,55.66506949999999,12.5114701,CS2,CS83
t59,43,14,55.66034659999999,12.6124427,55.70128099999999,12.5387319,CS2,CS51
t60,48,336,55.64114410000001,12.6160056,55.713568,12.5927798,CS3,CS50
t61,50,7,55.6422753,12.6158552,55.6957408,12.579571,CS3,CS65
t62,51,176,55.6400501,12.6176269,55.67878700000001,12.5313736,CS3,CS29
t63,49,146,55.6372747,12.6183612,55.66616940000001,12.5791072,CS3,CS45
t64,48,338,55.64114410000001,12.6160056,55.6668518,12.5033546,CS3,CS84
t65,48,466,55.64114410000001,12.6160056,55.67327160000001,12.4865587,CS3,CS85
t66,49,378,55.6372747,12.6183612,55.671653,12.5900113,CS3,CS17
