traveller_id,wt_css_o,wt_css_d,cs_duration,walking_duration,public_duration,bicycling_duration,driving_duration,cs_distance,walking_distance,public_distance,bicycling_distance,driving_distance
t0,5 mins,6 mins,19 mins,1 hour 35 mins,27 mins,26 mins,22 mins,6.7 km,6.8 km,7.5 km,7.9 km,7.5 km
t1,5 mins,4 mins,19 mins,1 hour 13 mins,21 mins,18 mins,17 mins,6.3 km,5.2 km,5.4 km,5.3 km,5.3 km
t2,5 mins,9 mins,15 mins,51 mins,17 mins,13 mins,14 mins,4.6 km,3.6 km,4.1 km,3.9 km,4.9 km
t3,2 mins,5 mins,19 mins,1 hour 21 mins,18 mins,21 mins,16 mins,6.3 km,5.8 km,6.5 km,6.3 km,5.9 km
t4,1 min,3 mins,16 mins,1 hour 13 mins,17 mins,20 mins,14 mins,5.5 km,5.2 km,6.6 km,5.4 km,5.4 km
t5,5 mins,2 mins,16 mins,1 hour 2 mins,26 mins,17 mins,18 mins,5.0 km,4.4 km,5.3 km,4.8 km,5.9 km
t6,2 mins,3 mins,20 mins,1 hour 27 mins,16 mins,22 mins,18 mins,6.2 km,6.2 km,6.9 km,6.1 km,6.0 km
t7,5 mins,6 mins,22 mins,1 hour 40 mins,32 mins,24 mins,23 mins,7.9 km,7.2 km,10.0 km,7.1 km,8.5 km
t8,4 mins,4 mins,15 mins,49 mins,22 mins,14 mins,12 mins,4.3 km,3.5 km,4.4 km,3.9 km,3.9 km
t9,8 mins,5 mins,17 mins,1 hour 14 mins,24 mins,20 mins,15 mins,6.4 km,5.3 km,7.3 km,5.7 km,5.3 km
t10,5 mins,9 mins,21 mins,1 hour 34 mins,30 mins,22 mins,24 mins,7.5 km,6.7 km,8.1 km,6.8 km,8.9 km
t11,6 mins,5 mins,9 mins,27 mins,18 mins,9 mins,7 mins,2.2 km,1.9 km,2.4 km,2.5 km,2.1 km
t12,6 mins,8 mins,20 mins,1 hour 29 mins,24 mins,23 mins,19 mins,7.1 km,6.4 km,9.6 km,6.8 km,6.9 km
t13,1 min,3 mins,24 mins,2 hours 3 mins,24 mins,30 mins,21 mins,9.5 km,8.8 km,9.3 km,8.6 km,9.2 km
t14,4 mins,8 mins,5 mins,18 mins,9 mins,4 mins,5 mins,0.9 km,1.3 km,1.3 km,1.3 km,1.3 km
t15,6 mins,5 mins,22 mins,1 hour 53 mins,31 mins,30 mins,23 mins,9.4 km,8.0 km,8.7 km,8.6 km,9.5 km
t16,1 min,1 min,12 mins,41 mins,13 mins,13 mins,12 mins,3.3 km,3.0 km,3.1 km,3.4 km,4.2 km
t17,5 mins,3 mins,18 mins,1 hour 25 mins,37 mins,22 mins,20 mins,7.0 km,6.2 km,9.5 km,6.5 km,7.9 km
t18,5 mins,5 mins,19 mins,1 hour 16 mins,28 mins,19 mins,22 mins,6.4 km,5.4 km,6.0 km,5.6 km,6.9 km
t19,6 mins,8 mins,20 mins,1 hour 33 mins,30 mins,24 mins,21 mins,6.5 km,6.7 km,9.1 km,7.0 km,7.6 km
t20,2 mins,6 mins,15 mins,59 mins,22 mins,15 mins,15 mins,5.0 km,4.2 km,5.6 km,4.5 km,4.8 km
t21,6 mins,5 mins,23 mins,1 hour 36 mins,26 mins,24 mins,22 mins,8.2 km,6.9 km,6.9 km,7.2 km,8.1 km
t22,8 mins,5 mins,18 mins,1 hour 9 mins,24 mins,20 mins,18 mins,5.9 km,4.9 km,5.7 km,6.0 km,5.9 km
t23,6 mins,2 mins,7 mins,27 mins,9 mins,7 mins,8 mins,1.6 km,1.9 km,1.7 km,1.8 km,1.8 km
t24,5 mins,3 mins,15 mins,1 hour 0 mins,20 mins,16 mins,16 mins,4.6 km,4.3 km,4.3 km,4.7 km,4.9 km
t25,6 mins,14 mins,7 mins,36 mins,13 mins,10 mins,9 mins,1.9 km,2.6 km,2.8 km,2.7 km,2.6 km
t26,8 mins,6 mins,24 mins,2 hours 4 mins,31 mins,32 mins,22 mins,9.7 km,8.9 km,10.4 km,9.4 km,9.4 km
t27,6 mins,4 mins,23 mins,2 hours 1 min,32 mins,30 mins,24 mins,8.7 km,8.7 km,10.4 km,8.9 km,9.0 km
t28,5 mins,5 mins,21 mins,2 hours 13 mins,46 mins,35 mins,23 mins,9.8 km,9.6 km,13.3 km,10.5 km,10.4 km
t29,6 mins,4 mins,23 mins,1 hour 51 mins,41 mins,28 mins,25 mins,9.3 km,8.0 km,8.9 km,8.2 km,9.4 km
t30,3 mins,1 min,10 mins,40 mins,21 mins,11 mins,9 mins,3.0 km,2.9 km,3.8 km,3.0 km,3.0 km
t31,5 mins,6 mins,20 mins,1 hour 44 mins,33 mins,29 mins,20 mins,8.8 km,7.5 km,10.1 km,8.3 km,8.6 km
t32,3 mins,13 mins,12 mins,1 hour 12 mins,30 mins,20 mins,15 mins,4.5 km,5.2 km,6.4 km,5.5 km,5.5 km
t33,3 mins,5 mins,26 mins,2 hours 24 mins,49 mins,39 mins,27 mins,12.4 km,10.4 km,15.4 km,11.1 km,12.5 km
t34,5 mins,5 mins,12 mins,1 hour 13 mins,32 mins,20 mins,16 mins,5.6 km,5.3 km,7.4 km,5.7 km,6.5 km
t35,6 mins,3 mins,22 mins,2 hours 9 mins,45 mins,36 mins,24 mins,10.0 km,9.3 km,15.9 km,10.1 km,10.2 km
t36,3 mins,10 mins,21 mins,1 hour 44 mins,42 mins,28 mins,18 mins,9.4 km,7.6 km,11.9 km,7.8 km,8.3 km
t37,5 mins,5 mins,10 mins,1 hour 1 min,24 mins,16 mins,11 mins,4.7 km,4.4 km,5.0 km,4.8 km,5.2 km
t38,5 mins,12 mins,7 mins,38 mins,16 mins,11 mins,8 mins,2.6 km,2.7 km,3.2 km,3.1 km,4.2 km
t39,6 mins,7 mins,15 mins,1 hour 18 mins,39 mins,21 mins,21 mins,5.3 km,5.6 km,6.6 km,5.9 km,6.4 km
t40,6 mins,3 mins,15 mins,1 hour 37 mins,39 mins,26 mins,18 mins,7.8 km,7.0 km,9.0 km,7.0 km,7.9 km
t41,5 mins,6 mins,4 mins,24 mins,20 mins,7 mins,4 mins,1.5 km,1.7 km,2.2 km,1.7 km,1.7 km
t42,3 mins,2 mins,23 mins,1 hour 58 mins,40 mins,30 mins,23 mins,9.9 km,8.5 km,12.0 km,8.8 km,9.9 km
t43,5 mins,5 mins,28 mins,2 hours 36 mins,49 mins,40 mins,30 mins,11.4 km,11.2 km,17.3 km,11.4 km,11.8 km
t44,7 mins,6 mins,21 mins,1 hour 40 mins,23 mins,26 mins,23 mins,7.1 km,7.1 km,8.3 km,7.1 km,7.6 km
t45,1 min,6 mins,9 mins,46 mins,24 mins,11 mins,10 mins,3.4 km,3.3 km,5.0 km,3.3 km,4.0 km
t46,9 mins,2 mins,20 mins,1 hour 38 mins,26 mins,25 mins,22 mins,7.4 km,7.0 km,7.5 km,7.7 km,7.5 km
t47,9 mins,4 mins,23 mins,1 hour 48 mins,30 mins,27 mins,24 mins,8.6 km,7.7 km,8.5 km,7.8 km,8.1 km
t48,9 mins,2 mins,20 mins,1 hour 31 mins,21 mins,24 mins,22 mins,7.3 km,6.5 km,6.9 km,6.5 km,7.8 km
t49,1 min,7 mins,11 mins,47 mins,20 mins,10 mins,15 mins,3.4 km,3.5 km,4.2 km,3.2 km,4.0 km
t50,7 mins,11 mins,19 mins,1 hour 25 mins,31 mins,23 mins,19 mins,6.3 km,6.1 km,9.9 km,6.7 km,7.3 km
t51,7 mins,4 mins,18 mins,1 hour 29 mins,20 mins,23 mins,20 mins,6.7 km,6.4 km,7.7 km,6.3 km,7.2 km
t52,7 mins,9 mins,16 mins,1 hour 11 mins,29 mins,18 mins,17 mins,5.4 km,5.1 km,5.5 km,5.2 km,5.4 km
t53,7 mins,5 mins,10 mins,36 mins,23 mins,11 mins,9 mins,3.2 km,2.6 km,3.3 km,3.2 km,2.7 km
t54,1 min,4 mins,8 mins,30 mins,9 mins,8 mins,8 mins,2.3 km,2.2 km,2.7 km,2.1 km,2.1 km
t55,7 mins,2 mins,9 mins,37 mins,22 mins,11 mins,9 mins,2.9 km,2.7 km,3.2 km,3.1 km,2.8 km
t56,7 mins,6 mins,10 mins,48 mins,20 mins,12 mins,11 mins,3.5 km,3.4 km,4.4 km,3.5 km,3.8 km
t57,7 mins,9 mins,22 mins,1 hour 46 mins,31 mins,26 mins,24 mins,8.4 km,7.6 km,9.0 km,7.9 km,9.1 km
t58,1 min,8 mins,21 mins,1 hour 44 mins,28 mins,27 mins,21 mins,8.1 km,7.5 km,10.2 km,7.8 km,7.9 km
t59,7 mins,8 mins,20 mins,1 hour 37 mins,30 mins,25 mins,21 mins,8.5 km,7.0 km,10.6 km,7.5 km,7.9 km
t60,2 mins,6 mins,26 mins,2 hours 8 mins,40 mins,34 mins,28 mins,9.2 km,9.2 km,10.4 km,10.1 km,9.7 km
t61,3 mins,8 mins,24 mins,1 hour 38 mins,34 mins,25 mins,23 mins,7.7 km,7.1 km,7.3 km,7.3 km,8.0 km
t62,1 min,8 mins,23 mins,1 hour 54 mins,31 mins,28 mins,22 mins,8.3 km,8.2 km,9.6 km,8.1 km,9.8 km
t63,6 mins,1 min,11 mins,1 hour 2 mins,25 mins,19 mins,13 mins,4.7 km,4.5 km,5.2 km,5.5 km,5.6 km
t64,2 mins,4 mins,24 mins,2 hours 5 mins,44 mins,34 mins,23 mins,10.1 km,9.0 km,10.8 km,9.9 km,9.9 km
t65,2 mins,7 mins,25 mins,2 hours 24 mins,54 mins,37 mins,25 mins,12.0 km,10.4 km,11.8 km,10.7 km,23.3 km
